"id";"data_criacao";"semente";"data_encerramento";"data_parou_comprar";"dias_sem_compra"
1;"2019-03-28";52;;;
2;"2021-04-02";48;;;
3;"2019-05-24";72;;;
4;"2018-10-22";60;;;
5;"2022-11-29";50;;;
6;"2018-05-26";82;;;
7;"2020-08-23";55;;;
8;"2019-02-16";35;;;
9;"2021-03-09";89;;;
10;"2022-04-09";38;;;
11;"2019-10-08";42;;;
12;"2022-04-28";46;;;
13;"2019-02-15";37;;;
14;"2022-08-21";44;;;
15;"2022-07-15";51;;;
16;"2019-12-27";53;;;
17;"2022-07-31";69;;;
18;"2018-07-13";50;;;
19;"2019-04-14";26;;;
20;"2022-12-07";19;;"2022-09-26";85
21;"2018-07-19";1;"2022-10-19";"2021-12-09";314
22;"2022-03-07";90;;;
23;"2018-08-12";45;;;
24;"2021-04-03";72;;;
25;"2021-06-05";33;;;
26;"2021-10-20";39;;;
27;"2022-10-21";39;;;
28;"2020-11-16";35;;;
29;"2018-07-10";47;;;
30;"2022-01-12";57;;;
31;"2018-04-05";89;;;
32;"2019-09-16";2;"2022-10-20";"2021-12-22";302
33;"2020-04-26";27;;;
34;"2019-08-09";86;;;
35;"2020-06-19";71;;;
36;"2020-04-05";42;;;
37;"2019-12-14";78;;;
38;"2018-02-21";90;;;
39;"2021-05-04";90;;;
40;"2018-03-04";90;;;
41;"2022-05-12";12;;"2022-06-17";186
42;"2018-02-20";86;;;
43;"2022-06-12";27;;;
44;"2018-07-09";89;;;
45;"2022-09-23";34;;;
46;"2022-01-06";9;;"2022-09-29";82
47;"2020-06-15";77;;;
48;"2022-05-04";70;;;
49;"2022-06-30";62;;;
50;"2021-09-09";51;;;
51;"2022-04-21";86;;;
52;"2018-01-28";23;;"2021-12-17";368
53;"2020-11-26";14;;"2022-01-27";327
54;"2022-11-12";19;;"2022-06-06";197
55;"2021-04-12";62;;;
56;"2019-05-13";51;;;
57;"2021-09-12";81;;;
58;"2021-02-12";71;;;
59;"2022-03-10";20;;"2022-05-28";206
60;"2022-03-03";39;;;
61;"2020-03-07";10;;"2022-09-22";89
62;"2022-05-26";72;;;
63;"2018-11-29";72;;;
64;"2022-06-13";37;;;
65;"2019-01-13";1;"2022-11-29";"2021-12-25";339
66;"2021-04-30";14;;"2022-03-17";278
67;"2019-09-28";32;;;
68;"2020-12-08";13;;"2022-02-20";303
69;"2021-06-02";63;;;
70;"2018-02-11";53;;;
71;"2021-01-22";55;;;
72;"2020-10-24";24;;"2022-10-13";68
73;"2018-03-15";63;;;
74;"2020-07-15";26;;;
75;"2021-04-13";14;;"2022-09-15";96
76;"2022-11-17";86;;;
77;"2019-08-02";59;;;
78;"2018-10-09";76;;;
79;"2022-04-02";75;;;
80;"2019-02-11";37;;;
81;"2022-05-31";22;;"2022-05-05";229
82;"2021-08-02";16;;"2022-10-07";74
83;"2019-02-20";98;;;
84;"2020-05-07";21;;"2022-05-12";222
85;"2021-06-26";45;;;
86;"2022-05-15";68;;;
87;"2021-08-30";81;;;
88;"2020-03-20";80;;;
89;"2020-07-08";92;;;
90;"2020-11-18";80;;;
91;"2019-06-03";62;;;
