"id";"tipo";"data_criacao";"id_associado"
1;Conta Corrente;"2019-03-28";1
2;Conta Corrente;"2021-04-02";2
3;Conta Corrente;"2019-05-24";3
4;Conta Corrente;"2018-10-22";4
5;Conta Corrente;"2022-11-29";5
6;Conta Corrente;"2018-05-26";6
7;Conta Corrente;"2020-08-23";7
8;Conta Corrente;"2019-02-16";8
9;Conta Corrente;"2021-03-09";9
10;Conta Corrente;"2022-04-09";10
11;Conta Corrente;"2019-10-08";11
12;Conta Corrente;"2022-04-28";12
13;Conta Corrente;"2019-02-15";13
14;Conta Corrente;"2022-08-21";14
15;Conta Corrente;"2022-07-15";15
16;Conta Corrente;"2019-12-27";16
17;Conta Corrente;"2022-07-31";17
18;Conta Corrente;"2018-07-13";18
19;Conta Corrente;"2019-04-14";19
20;Conta Corrente;"2022-12-07";20
21;Conta Corrente;"2018-07-19";21
22;Conta Corrente;"2022-03-07";22
23;Conta Corrente;"2018-08-12";23
24;Conta Corrente;"2021-04-03";24
25;Conta Corrente;"2021-06-05";25
26;Conta Corrente;"2021-10-20";26
27;Conta Corrente;"2022-10-21";27
28;Conta Corrente;"2020-11-16";28
29;Conta Corrente;"2018-07-10";29
30;Conta Corrente;"2022-01-12";30
31;Conta Corrente;"2018-04-05";31
32;Conta Corrente;"2019-09-16";32
33;Conta Corrente;"2020-04-26";33
34;Conta Corrente;"2019-08-09";34
35;Conta Corrente;"2020-06-19";35
36;Conta Corrente;"2020-04-05";36
37;Conta Corrente;"2019-12-14";37
38;Conta Corrente;"2018-02-21";38
39;Conta Corrente;"2021-05-04";39
40;Conta Corrente;"2018-03-04";40
41;Conta Corrente;"2022-05-12";41
42;Conta Corrente;"2018-02-20";42
43;Conta Corrente;"2022-06-12";43
44;Conta Corrente;"2018-07-09";44
45;Conta Corrente;"2022-09-23";45
46;Conta Corrente;"2022-01-06";46
47;Conta Corrente;"2020-06-15";47
48;Conta Corrente;"2022-05-04";48
49;Conta Corrente;"2022-06-30";49
50;Conta Corrente;"2021-09-09";50
51;Conta Corrente;"2022-04-21";51
52;Conta Corrente;"2018-01-28";52
53;Conta Corrente;"2020-11-26";53
54;Conta Corrente;"2022-11-12";54
55;Conta Corrente;"2021-04-12";55
56;Conta Corrente;"2019-05-13";56
57;Conta Corrente;"2021-09-12";57
58;Conta Corrente;"2021-02-12";58
59;Conta Corrente;"2022-03-10";59
60;Conta Corrente;"2022-03-03";60
61;Conta Corrente;"2020-03-07";61
62;Conta Corrente;"2022-05-26";62
63;Conta Corrente;"2018-11-29";63
64;Conta Corrente;"2022-06-13";64
65;Conta Corrente;"2019-01-13";65
66;Conta Corrente;"2021-04-30";66
67;Conta Corrente;"2019-09-28";67
68;Conta Corrente;"2020-12-08";68
69;Conta Corrente;"2021-06-02";69
70;Conta Corrente;"2018-02-11";70
71;Conta Corrente;"2021-01-22";71
72;Conta Corrente;"2020-10-24";72
73;Conta Corrente;"2018-03-15";73
74;Conta Corrente;"2020-07-15";74
75;Conta Corrente;"2021-04-13";75
76;Conta Corrente;"2022-11-17";76
77;Conta Corrente;"2019-08-02";77
78;Conta Corrente;"2018-10-09";78
79;Conta Corrente;"2022-04-02";79
80;Conta Corrente;"2019-02-11";80
81;Conta Corrente;"2022-05-31";81
82;Conta Corrente;"2021-08-02";82
83;Conta Corrente;"2019-02-20";83
84;Conta Corrente;"2020-05-07";84
85;Conta Corrente;"2021-06-26";85
86;Conta Corrente;"2022-05-15";86
87;Conta Corrente;"2021-08-30";87
88;Conta Corrente;"2020-03-20";88
89;Conta Corrente;"2020-07-08";89
90;Conta Corrente;"2020-11-18";90
91;Conta Corrente;"2019-06-03";91
92;Conta Corrente;"2022-08-25";92
93;Conta Corrente;"2020-04-25";93
94;Conta Corrente;"2020-04-12";94
95;Conta Corrente;"2022-02-17";95
96;Conta Corrente;"2021-04-20";96
97;Conta Corrente;"2018-08-23";97
98;Conta Corrente;"2018-11-27";98
99;Conta Corrente;"2019-04-09";99
100;Conta Corrente;"2022-01-05";100
101;Conta Corrente;"2018-12-20";101
102;Conta Corrente;"2022-04-12";102
103;Conta Corrente;"2019-11-10";103
104;Conta Corrente;"2019-02-14";104
105;Conta Corrente;"2019-11-07";105
106;Conta Corrente;"2018-03-05";106
107;Conta Corrente;"2019-01-12";107
108;Conta Corrente;"2021-05-21";108
109;Conta Corrente;"2018-11-23";109
110;Conta Corrente;"2018-04-26";110
111;Conta Corrente;"2022-06-13";111
112;Conta Corrente;"2018-05-05";112
113;Conta Corrente;"2021-11-07";113
114;Conta Corrente;"2018-08-14";114
115;Conta Corrente;"2020-08-21";115
116;Conta Corrente;"2020-05-15";116
117;Conta Corrente;"2022-12-09";117
118;Conta Corrente;"2019-05-02";118
119;Conta Corrente;"2022-07-15";119
120;Conta Corrente;"2020-06-27";120
121;Conta Corrente;"2022-03-02";121
122;Conta Corrente;"2018-12-27";122
123;Conta Corrente;"2020-03-03";123
124;Conta Corrente;"2019-07-07";124
125;Conta Corrente;"2021-03-21";125
126;Conta Corrente;"2019-05-03";126
127;Conta Corrente;"2022-10-07";127
128;Conta Corrente;"2021-10-23";128
129;Conta Corrente;"2020-03-10";129
130;Conta Corrente;"2019-01-25";130
131;Conta Corrente;"2020-11-08";131
132;Conta Corrente;"2021-02-08";132
133;Conta Corrente;"2018-05-19";133
134;Conta Corrente;"2022-08-31";134
135;Conta Corrente;"2022-03-06";135
136;Conta Corrente;"2020-03-07";136
137;Conta Corrente;"2022-10-15";137
138;Conta Corrente;"2018-03-30";138
139;Conta Corrente;"2018-08-07";139
140;Conta Corrente;"2018-09-19";140
141;Conta Corrente;"2018-07-05";141
142;Conta Corrente;"2018-01-29";142
143;Conta Corrente;"2019-01-03";143
144;Conta Corrente;"2022-04-24";144
145;Conta Corrente;"2018-08-25";145
146;Conta Corrente;"2021-08-06";146
147;Conta Corrente;"2019-09-18";147
148;Conta Corrente;"2018-08-14";148
149;Conta Corrente;"2022-11-18";149
150;Conta Corrente;"2019-04-14";150
151;Conta Corrente;"2021-01-21";151
152;Conta Corrente;"2022-01-30";152
153;Conta Corrente;"2020-03-21";153
154;Conta Corrente;"2018-04-06";154
155;Conta Corrente;"2018-08-18";155
156;Conta Corrente;"2018-06-22";156
157;Conta Corrente;"2019-07-19";157
158;Conta Corrente;"2018-06-05";158
159;Conta Corrente;"2022-03-26";159
160;Conta Corrente;"2021-09-07";160
161;Conta Corrente;"2019-06-11";161
162;Conta Corrente;"2020-02-14";162
163;Conta Corrente;"2019-10-29";163
164;Conta Corrente;"2019-10-10";164
165;Conta Corrente;"2019-10-26";165
166;Conta Corrente;"2019-01-14";166
167;Conta Corrente;"2021-11-27";167
168;Conta Corrente;"2019-08-22";168
169;Conta Corrente;"2019-03-26";169
170;Conta Corrente;"2022-06-15";170
171;Conta Corrente;"2020-04-22";171
172;Conta Corrente;"2019-09-10";172
173;Conta Corrente;"2022-06-26";173
174;Conta Corrente;"2021-04-06";174
175;Conta Corrente;"2019-01-13";175
176;Conta Corrente;"2018-03-02";176
177;Conta Corrente;"2019-11-23";177
178;Conta Corrente;"2020-09-12";178
179;Conta Corrente;"2018-09-25";179
180;Conta Corrente;"2019-10-22";180
181;Conta Corrente;"2021-12-06";181
182;Conta Corrente;"2021-09-28";182
183;Conta Corrente;"2018-12-03";183
184;Conta Corrente;"2019-03-09";184
185;Conta Corrente;"2021-12-14";185
186;Conta Corrente;"2019-07-02";186
187;Conta Corrente;"2019-08-10";187
188;Conta Corrente;"2018-07-13";188
189;Conta Corrente;"2019-11-16";189
190;Conta Corrente;"2018-11-15";190
191;Conta Corrente;"2022-03-02";191
192;Conta Corrente;"2021-04-08";192
193;Conta Corrente;"2020-12-11";193
194;Conta Corrente;"2019-01-10";194
195;Conta Corrente;"2018-01-27";195
196;Conta Corrente;"2022-09-18";196
197;Conta Corrente;"2020-01-05";197
198;Conta Corrente;"2021-12-05";198
